Publication Years	records	% of 12113
2018	286	2.361
2017	380	3.137
2016	369	3.046
2015	322	2.658
2014	277	2.287
2013	269	2.221
2012	231	1.907
2011	238	1.965
2010	202	1.668
2009	184	1.519
2008	148	1.222
2007	161	1.329
2006	148	1.222
2005	149	1.230
2004	135	1.115
2003	132	1.090
2002	136	1.123
2001	146	1.205
2000	154	1.271
1999	97	0.801
1998	144	1.189
1997	125	1.032
1996	123	1.015
1995	106	0.875
1994	95	0.784
1993	79	0.652
1992	82	0.677
1991	100	0.826
1990	99	0.817
1989	79	0.652
1988	95	0.784
1987	107	0.883
1986	118	0.974
1985	132	1.090
1984	117	0.966
1983	96	0.793
1982	127	1.048
1981	114	0.941
1980	107	0.883
1979	131	1.081
1978	124	1.024
1977	117	0.966
1976	108	0.892
1975	91	0.751
1974	115	0.949
1973	108	0.892
1972	127	1.048
1971	126	1.040
1970	98	0.809
1969	118	0.974
1968	118	0.974
1967	125	1.032
1966	127	1.048
1965	93	0.768
1964	89	0.735
1963	90	0.743
1962	80	0.660
1961	94	0.776
1960	63	0.520
1959	78	0.644
1958	79	0.652
1957	73	0.603
1956	49	0.405
1955	70	0.578
1954	89	0.735
1953	93	0.768
1952	94	0.776
1951	97	0.801
1950	81	0.669
1949	92	0.760
1948	87	0.718
1947	79	0.652
1946	60	0.495
1945	60	0.495
1944	28	0.231
1943	51	0.421
1942	54	0.446
1941	54	0.446
1940	51	0.421
1939	74	0.611
1938	69	0.570
1937	63	0.520
1936	73	0.603
1935	74	0.611
1934	60	0.495
1933	80	0.660
1932	84	0.693
1931	84	0.693
1930	76	0.627
1929	80	0.660
1928	71	0.586
1927	80	0.660
1926	69	0.570
1925	60	0.495
1924	62	0.512
1923	62	0.512
1922	59	0.487
1921	57	0.471
1920	41	0.338
1919	29	0.239
1918	42	0.347
1917	38	0.314
1916	43	0.355
1915	31	0.256
1914	50	0.413
1913	50	0.413
1912	58	0.479
1911	38	0.314
1910	54	0.446
1909	55	0.454
1908	48	0.396
1907	46	0.380
1906	53	0.438
1905	43	0.355
1904	63	0.520
1903	62	0.512
1902	56	0.462
1901	67	0.553
1900	39	0.322
(94 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
